test
test 2
test 3
model: 1000, 0.5, 32 begin
Epoch 6: train loss 1.7773641347885132, test loss 1.6479966640472412, adv 0.050074308588064054, acc 0.5518558951965066
Epoch 7: train loss 1.3082220554351807, test loss 1.5294345617294312, adv 0.050965138282387135, acc 0.5720524017467249
Epoch 8: train loss 1.4693846702575684, test loss 1.506212830543518, adv 0.052104585152838445, acc 0.5753275109170306
Epoch 9: train loss 1.4208059310913086, test loss 1.4462071657180786, adv 0.05405393013100446, acc 0.5957969432314411
Epoch 10: train loss 1.2674691677093506, test loss 1.427849531173706, adv 0.05400116448326053, acc 0.5960698689956332
Epoch 11: train loss 1.319699764251709, test loss 1.394365668296814, adv 0.064444250363901, acc 0.5972980349344978
Epoch 12: train loss 1.5693440437316895, test loss 1.3776105642318726, adv 0.06802052401746728, acc 0.6110807860262009
Epoch 13: train loss 0.9939588308334351, test loss 1.369861364364624, adv 0.06999606986899554, acc 0.6088973799126638
Epoch 14: train loss 0.6107938885688782, test loss 1.3363646268844604, adv 0.061484133915574946, acc 0.6225436681222707
Epoch 15: train loss 1.1982911825180054, test loss 1.3531782627105713, adv 0.08566703056768554, acc 0.6196779475982532
Epoch 16: train loss 1.1319385766983032, test loss 1.3668111562728882, adv 0.09939163027656484, acc 0.6110807860262009
Epoch 17: train loss 0.5445569157600403, test loss 1.3444682359695435, adv 0.07558813682678311, acc 0.618995633187773
Epoch 18: train loss 1.1488341093063354, test loss 1.4028046131134033, adv 0.1137935953420669, acc 0.6072598253275109
Epoch 19: train loss 0.8486250638961792, test loss 1.353646159172058, adv 0.10530655021834068, acc 0.6240447598253275
model: 100000, 1, 32 begin
Epoch 0: train loss 4.363522529602051, test loss 4.28925085067749, adv -0.006022489082969429, acc 0.046260917030567686
Epoch 1: train loss 4.273102283477783, test loss 4.016802787780762, adv -0.0038775836972343436, acc 0.08215065502183407
Epoch 2: train loss 3.423313856124878, test loss 3.564452648162842, adv 0.006551673944687031, acc 0.14983624454148473
Epoch 3: train loss 2.679236888885498, test loss 3.075165271759033, adv 0.001926200873362427, acc 0.2414028384279476
Epoch 4: train loss 2.7176244258880615, test loss 2.6859776973724365, adv 0.00985953420669572, acc 0.3452510917030568
Epoch 5: train loss 2.0605854988098145, test loss 2.3308568000793457, adv 0.009832751091703062, acc 0.4040665938864629
Epoch 6: train loss 1.8168507814407349, test loss 2.13869571685791, adv 0.013613828238719095, acc 0.44582423580786024
Epoch 7: train loss 1.8443504571914673, test loss 2.030789375305176, adv 0.01966310043668129, acc 0.4702510917030568
Epoch 8: train loss 1.5613553524017334, test loss 2.001169443130493, adv 0.016583333333333283, acc 0.48294213973799127
Epoch 9: train loss 1.9632415771484375, test loss 1.9165858030319214, adv 0.03648777292576422, acc 0.49795305676855894
Epoch 10: train loss 1.1190881729125977, test loss 1.847527265548706, adv 0.022937991266375524, acc 0.5140556768558951
Epoch 11: train loss 1.9460691213607788, test loss 1.814064383506775, adv 0.036563027656477454, acc 0.5210152838427947
Epoch 12: train loss 1.7293782234191895, test loss 1.735015869140625, adv 0.04147933042212515, acc 0.5386189956331878
Epoch 13: train loss 1.624003529548645, test loss 1.7062454223632812, adv 0.040823362445414846, acc 0.5395742358078602
Epoch 14: train loss 1.6967737674713135, test loss 1.698304295539856, adv 0.04759752547307139, acc 0.5425764192139738
Epoch 15: train loss 1.413112759590149, test loss 1.6392897367477417, adv 0.04503231441048039, acc 0.5554039301310044
Epoch 16: train loss 1.8441566228866577, test loss 1.603765606880188, adv 0.056746870451237164, acc 0.5618176855895196
Epoch 17: train loss 1.4729812145233154, test loss 1.6250662803649902, adv 0.057698471615720504, acc 0.5594978165938864
Epoch 18: train loss 1.4595420360565186, test loss 1.5471336841583252, adv 0.052882896652110545, acc 0.5765556768558951
Epoch 19: train loss 1.2491263151168823, test loss 1.5255355834960938, adv 0.05918850072780202, acc 0.579967248908297
model: 100000, 2, 32 begin
Epoch 0: train loss 4.353684425354004, test loss 4.300601005554199, adv 0.0030125909752547475, acc 0.046260917030567686
Epoch 1: train loss 4.210507869720459, test loss 4.293802261352539, adv 0.006876637554585119, acc 0.046260917030567686
Epoch 2: train loss 4.056799411773682, test loss 4.220714092254639, adv 0.013843813682678341, acc 0.06222707423580786
Epoch 3: train loss 4.0356245040893555, test loss 4.043704509735107, adv 0.00617445414847162, acc 0.08201419213973798
Epoch 4: train loss 3.634993314743042, test loss 3.8542520999908447, adv 0.005369723435225626, acc 0.10685043668122271
Epoch 5: train loss 4.173270225524902, test loss 3.691591739654541, adv 0.006223944687045124, acc 0.1259552401746725
Epoch 6: train loss 3.786224603652954, test loss 3.5687010288238525, adv 0.010127874818049443, acc 0.1471069868995633
Epoch 7: train loss 3.3331987857818604, test loss 3.372525930404663, adv 0.00520553129548762, acc 0.17535480349344978
Epoch 8: train loss 3.012986183166504, test loss 3.170778751373291, adv 0.0013185589519650875, acc 0.20660480349344978
Epoch 9: train loss 2.9066951274871826, test loss 3.0243325233459473, adv 0.0037538573508005824, acc 0.2423580786026201
Epoch 10: train loss 3.2178523540496826, test loss 2.938056230545044, adv 0.016752620087336245, acc 0.2626910480349345
Epoch 11: train loss 3.024343252182007, test loss 2.8022711277008057, adv 0.013432969432314423, acc 0.2908024017467249
Epoch 12: train loss 3.104820966720581, test loss 2.678889751434326, adv 0.017316011644832652, acc 0.3250545851528384
Epoch 13: train loss 2.720172166824341, test loss 2.556623697280884, adv 0.01837598253275108, acc 0.3524836244541485
Epoch 14: train loss 2.3050715923309326, test loss 2.444282293319702, adv 0.012390538573508025, acc 0.36612991266375544
Epoch 15: train loss 2.3227391242980957, test loss 2.3561015129089355, adv 0.020416302765647765, acc 0.3882368995633188
Epoch 16: train loss 2.2083938121795654, test loss 2.298532009124756, adv 0.022765720524017485, acc 0.3998362445414847
Epoch 17: train loss 2.2282443046569824, test loss 2.247971296310425, adv 0.023374308588064108, acc 0.40829694323144106
Epoch 18: train loss 1.7037397623062134, test loss 2.153237819671631, adv 0.01090393013100438, acc 0.43640829694323147
Epoch 19: train loss 2.0895419120788574, test loss 2.121824026107788, adv 0.028336462882096125, acc 0.44418668122270744
model: 100000, 5, 32 begin
Epoch 0: train loss 4.348416328430176, test loss 4.339388847351074, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 1: train loss 4.310202598571777, test loss 4.306108474731445, adv 0.006876637554585119, acc 0.046260917030567686
Epoch 2: train loss 4.29837703704834, test loss 4.30208683013916, adv 0.0030125909752547475, acc 0.046260917030567686
Epoch 3: train loss 4.737176895141602, test loss 4.300607204437256, adv 5.902474526919832e-05, acc 0.046260917030567686
Epoch 4: train loss 4.499048709869385, test loss 4.2527594566345215, adv -0.005694614264919906, acc 0.058269650655021835
Epoch 5: train loss 3.780956983566284, test loss 4.151946544647217, adv 0.019209388646288184, acc 0.07573689956331878
Epoch 6: train loss 3.79844069480896, test loss 4.049098491668701, adv 0.01099759825327512, acc 0.08119541484716157
Epoch 7: train loss 3.9456090927124023, test loss 3.9534800052642822, adv 0.007242940320232871, acc 0.09675218340611354
Epoch 8: train loss 3.441371202468872, test loss 3.8642654418945312, adv 0.009487772925764193, acc 0.10725982532751091
Epoch 9: train loss 3.5418856143951416, test loss 3.8033738136291504, adv 0.008590247452692878, acc 0.11476528384279476
Epoch 10: train loss 3.5492827892303467, test loss 3.738713026046753, adv 0.0037490538573508037, acc 0.12923034934497818
Epoch 11: train loss 3.71138596534729, test loss 3.6967625617980957, adv 0.009090247452692879, acc 0.12431768558951965
Epoch 12: train loss 3.783473253250122, test loss 3.62483811378479, adv 0.010337627365356594, acc 0.13332423580786026
Epoch 13: train loss 3.5920042991638184, test loss 3.57045841217041, adv 0.010417248908296928, acc 0.1449235807860262
Epoch 14: train loss 3.520906925201416, test loss 3.5066328048706055, adv 0.0040540029112081655, acc 0.1509279475982533
Epoch 15: train loss 3.3019089698791504, test loss 3.519563913345337, adv 0.0102495633187773, acc 0.13700873362445415
Epoch 16: train loss 3.396528482437134, test loss 3.451711893081665, adv 0.01031244541484716, acc 0.15652292576419213
Epoch 17: train loss 3.3631467819213867, test loss 3.361318349838257, adv 0.008591994177583717, acc 0.17085152838427947
Epoch 18: train loss 3.1605324745178223, test loss 3.268815755844116, adv -0.0008938136826783238, acc 0.18777292576419213
Epoch 19: train loss 2.9874203205108643, test loss 3.1800217628479004, adv -0.004101601164483271, acc 0.19364082969432314
model: 1000, 0.5, 64 begin
Epoch 0: train loss 4.468461990356445, test loss 4.4883904457092285, adv 0.013947643421520717, acc 0.046463815789473686
Epoch 1: train loss 4.173028469085693, test loss 4.312414646148682, adv 0.007749600956767577, acc 0.04701206140350877
Epoch 2: train loss 4.315951824188232, test loss 4.328814506530762, adv 0.0077162498361699194, acc 0.046463815789473686
Epoch 3: train loss 4.2349467277526855, test loss 4.3070969581604, adv 0.007649547594974659, acc 0.046463815789473686
Epoch 4: train loss 4.456631660461426, test loss 4.410013198852539, adv 0.004852588046958373, acc 0.046463815789473686
Epoch 5: train loss 4.326230049133301, test loss 4.374046802520752, adv 0.014165010812784373, acc 0.046463815789473686
Epoch 6: train loss 4.210565567016602, test loss 4.313979148864746, adv 0.015188217341646548, acc 0.046463815789473686
Epoch 7: train loss 4.227917671203613, test loss 4.299864292144775, adv 0.008048151996854436, acc 0.046463815789473686
Epoch 8: train loss 4.281985282897949, test loss 4.312252521514893, adv 0.0029376778726430963, acc 0.046463815789473686
Epoch 9: train loss 4.276483058929443, test loss 4.304250717163086, adv 0.002954353432941925, acc 0.046463815789473686
Epoch 10: train loss 4.403663635253906, test loss 4.3060832023620605, adv -0.00849649052594137, acc 0.046463815789473686
Epoch 11: train loss 4.160299301147461, test loss 4.305971622467041, adv 0.007792313795427719, acc 0.046463815789473686
Epoch 12: train loss 4.283875942230225, test loss 4.306135654449463, adv -0.0002195615439345433, acc 0.046463815789473686
Epoch 13: train loss 4.39255952835083, test loss 4.306157112121582, adv -0.003076494598288737, acc 0.046463815789473686
Epoch 14: train loss 4.364356994628906, test loss 4.3067121505737305, adv 0.002820948950551405, acc 0.046463815789473686
Epoch 15: train loss 4.475343227386475, test loss 4.306141376495361, adv -0.008463139405343711, acc 0.046463815789473686
Epoch 16: train loss 4.35826301574707, test loss 4.30603551864624, adv 0.0029043267520455496, acc 0.046463815789473686
Epoch 17: train loss 4.387432098388672, test loss 4.30598258972168, adv -0.001030666647943157, acc 0.046463815789473686
Epoch 18: train loss 4.224064350128174, test loss 4.30597448348999, adv 0.007758962674830061, acc 0.046463815789473686
Epoch 19: train loss 4.249870777130127, test loss 4.306127548217773, adv 0.0038890624707446086, acc 0.046463815789473686
model: 1000, 1, 64 begin
Epoch 0: train loss 4.443488121032715, test loss 4.387683868408203, adv -0.0016207474395701915, acc 0.03358004385964912
Epoch 1: train loss 4.502114772796631, test loss 4.52676248550415, adv 0.012046336993765061, acc 0.046463815789473686
Epoch 2: train loss 4.460664749145508, test loss 4.47934103012085, adv 0.012146390355558034, acc 0.046463815789473686
Epoch 3: train loss 4.3105878829956055, test loss 4.377529144287109, adv 0.011546947845868683, acc 0.046463815789473686
Epoch 4: train loss 4.221604347229004, test loss 4.386364936828613, adv -0.006492351476342972, acc 0.03892543859649123
Epoch 5: train loss 4.307322978973389, test loss 4.318059921264648, adv 0.00021692856072941247, acc 0.046463815789473686
Epoch 6: train loss 4.422555923461914, test loss 4.36506462097168, adv 0.0013305341796326364, acc 0.046463815789473686
Epoch 7: train loss 4.284715175628662, test loss 4.3101487159729, adv 0.0005811579040985726, acc 0.046463815789473686
Epoch 8: train loss 4.410864353179932, test loss 4.377216339111328, adv 0.00770893599393363, acc 0.046463815789473686
Epoch 9: train loss 4.3726959228515625, test loss 4.321784973144531, adv 0.0046826143533861275, acc 0.046463815789473686
Epoch 10: train loss 4.266254425048828, test loss 4.315154075622559, adv 0.008173803806474589, acc 0.046463815789473686
Epoch 11: train loss 4.247059345245361, test loss 4.306639194488525, adv 0.0050643969181223825, acc 0.046463815789473686
Epoch 12: train loss 4.269256114959717, test loss 4.317991256713867, adv 0.007758962674830061, acc 0.046463815789473686
Epoch 13: train loss 4.343825340270996, test loss 4.303488731384277, adv -3.0718137392526934e-05, acc 0.046463815789473686
Epoch 14: train loss 4.332624435424805, test loss 4.310065746307373, adv 0.0047358591248665705, acc 0.046463815789473686
Epoch 15: train loss 4.15108585357666, test loss 4.303690433502197, adv 0.007682898715572317, acc 0.046463815789473686
Epoch 16: train loss 4.2990803718566895, test loss 4.302323341369629, adv 0.00011760658316017913, acc 0.046463815789473686
Epoch 17: train loss 4.228944778442383, test loss 4.301249980926514, adv -0.0002195615439345433, acc 0.046463815789473686
Epoch 18: train loss 4.420061111450195, test loss 4.301871299743652, adv -0.0034919208373120902, acc 0.046463815789473686
Epoch 19: train loss 4.310718536376953, test loss 4.299676418304443, adv 0.002034272079612154, acc 0.046463815789473686
model: 1000, 2, 64 begin
Epoch 0: train loss 4.574239253997803, test loss 4.566074848175049, adv 0.007466994092755863, acc 0.033854166666666664
Epoch 1: train loss 4.3408660888671875, test loss 4.329689025878906, adv 0.005949518105562768, acc 0.029605263157894735
Epoch 2: train loss 4.4970927238464355, test loss 4.348332405090332, adv 0.000940413834746967, acc 0.0322094298245614
Epoch 3: train loss 4.252002716064453, test loss 4.327851295471191, adv -0.0033411094103990013, acc 0.03358004385964912
Epoch 4: train loss 4.253449440002441, test loss 4.3490471839904785, adv 0.0021853760602146277, acc 0.030290570175438597
Epoch 5: train loss 4.1324968338012695, test loss 4.35306978225708, adv 0.004612108914227919, acc 0.033854166666666664
Epoch 6: train loss 4.407561302185059, test loss 4.369136333465576, adv 0.0011775286000487162, acc 0.03358004385964912
Epoch 7: train loss 4.171872138977051, test loss 4.363346099853516, adv 0.007234413909640691, acc 0.046463815789473686
Epoch 8: train loss 4.413251876831055, test loss 4.330660343170166, adv 0.004305366370836339, acc 0.030290570175438597
Epoch 9: train loss 4.264845848083496, test loss 4.3373308181762695, adv 0.007031381649160284, acc 0.033854166666666664
Epoch 10: train loss 4.417760848999023, test loss 4.425535678863525, adv 0.017970402928345397, acc 0.033854166666666664
Epoch 11: train loss 4.4507670402526855, test loss 4.3637309074401855, adv 0.009601612087850264, acc 0.046600877192982455
Epoch 12: train loss 4.609432697296143, test loss 4.496701240539551, adv 0.00653301643917692, acc 0.033854166666666664
Epoch 13: train loss 4.7277607917785645, test loss 4.527064800262451, adv 0.014429040517515812, acc 0.02700109649122807
Epoch 14: train loss 4.4413957595825195, test loss 4.31821346282959, adv 0.00500778777921318, acc 0.07771381578947369
Epoch 15: train loss 4.47086763381958, test loss 4.327654838562012, adv 0.00040986771892381757, acc 0.062225877192982455
Epoch 16: train loss 4.27328634262085, test loss 4.3245062828063965, adv 0.003574420977737802, acc 0.06359649122807018
Epoch 17: train loss 4.550313949584961, test loss 4.5467000007629395, adv 0.012886551189874362, acc 0.046463815789473686
Epoch 18: train loss 4.542770862579346, test loss 4.524266242980957, adv 0.007344706650564525, acc 0.046463815789473686
Epoch 19: train loss 4.470098495483398, test loss 4.5032782554626465, adv 0.012755925967533555, acc 0.046463815789473686
model: 1000, 5, 64 begin
Epoch 0: train loss 4.590907573699951, test loss 4.588557720184326, adv 0.012668744968076573, acc 0.03358004385964912
Epoch 1: train loss 4.314381122589111, test loss 4.334939002990723, adv -0.0007967699732254752, acc 0.046463815789473686
Epoch 2: train loss 4.383169651031494, test loss 4.3312554359436035, adv 0.0016017314497557278, acc 0.046463815789473686
Epoch 3: train loss 4.512195587158203, test loss 4.356949806213379, adv 0.004491137963639091, acc 0.046463815789473686
Epoch 4: train loss 4.580653667449951, test loss 4.576589107513428, adv 0.02120487651893871, acc 0.033854166666666664
Epoch 5: train loss 4.177844524383545, test loss 4.336869239807129, adv -0.0024581823756296695, acc 0.04509320175438596
Epoch 6: train loss 4.538438320159912, test loss 4.541965961456299, adv 0.004169328905240688, acc 0.033854166666666664
Epoch 7: train loss 4.556705951690674, test loss 4.556178092956543, adv 0.016034282611544826, acc 0.033854166666666664
Epoch 8: train loss 4.544881820678711, test loss 4.546647071838379, adv 0.018172850081446923, acc 0.033854166666666664
Epoch 9: train loss 4.549193859100342, test loss 4.537247657775879, adv 0.01019286309423506, acc 0.033854166666666664
Epoch 10: train loss 4.523519992828369, test loss 4.528201103210449, adv 0.018106147840251663, acc 0.03358004385964912
Epoch 11: train loss 4.4990925788879395, test loss 4.519411563873291, adv 0.018113461682488008, acc 0.046463815789473686
Epoch 12: train loss 4.51475715637207, test loss 4.511027812957764, adv 0.012198026081746527, acc 0.046463815789473686
Epoch 13: train loss 4.489806175231934, test loss 4.502969264984131, adv 0.012155313243086385, acc 0.046463815789473686
Epoch 14: train loss 4.439275741577148, test loss 4.495224475860596, adv 0.01796279653241961, acc 0.046463815789473686
Epoch 15: train loss 4.511602401733398, test loss 4.487809181213379, adv 0.012523492061263075, acc 0.046463815789473686
Epoch 16: train loss 4.488250255584717, test loss 4.48056173324585, adv 0.012214701642045356, acc 0.046463815789473686
Epoch 17: train loss 4.4602484703063965, test loss 4.449100494384766, adv 0.012447428102005276, acc 0.046463815789473686
Epoch 18: train loss 4.568814754486084, test loss 4.336700916290283, adv -0.004972535059634131, acc 0.04632675438596491
Epoch 19: train loss 4.31448221206665, test loss 4.451706409454346, adv 0.0024164934748825972, acc 0.046463815789473686
model: 10000, 0.5, 64 begin
Epoch 0: train loss 4.4445600509643555, test loss 4.4407877922058105, adv 0.006912166020708155, acc 0.046463815789473686
Epoch 1: train loss 4.35334587097168, test loss 4.359514236450195, adv 0.007758962674830061, acc 0.046463815789473686
Epoch 2: train loss 4.278416156768799, test loss 4.326026439666748, adv 0.007699574275871146, acc 0.046463815789473686
Epoch 3: train loss 4.320218563079834, test loss 4.30318021774292, adv -0.004260313102660618, acc 0.03358004385964912
Epoch 4: train loss 4.309289455413818, test loss 4.554879665374756, adv 0.004483677844558054, acc 0.017955043859649123
Epoch 5: train loss 4.35009241104126, test loss 4.248465061187744, adv -0.006873695210545039, acc 0.06085526315789474
Epoch 6: train loss 4.824602127075195, test loss 4.69084358215332, adv 0.011075205021625623, acc 0.05633223684210526
Epoch 7: train loss 4.105276584625244, test loss 4.124520778656006, adv -0.006965849622722731, acc 0.09539473684210527
Epoch 8: train loss 4.013097763061523, test loss 3.924232006072998, adv -0.008470160693890505, acc 0.10677083333333333
Epoch 9: train loss 3.652907609939575, test loss 3.7360165119171143, adv -0.0009234457207586977, acc 0.12088815789473684
Epoch 10: train loss 3.357027292251587, test loss 3.661745071411133, adv 0.001516159495590641, acc 0.14610745614035087
Epoch 11: train loss 3.402451992034912, test loss 3.4404296875, adv 0.0002644685352656273, acc 0.20476973684210525
Epoch 12: train loss 3.4087367057800293, test loss 3.296764373779297, adv 0.012776404725795332, acc 0.2304002192982456
Epoch 13: train loss 3.1202399730682373, test loss 3.113969087600708, adv 0.005844198777359644, acc 0.26480263157894735
Epoch 14: train loss 2.800463914871216, test loss 2.9160728454589844, adv 0.012474928148813902, acc 0.28591008771929827
Epoch 15: train loss 3.206543445587158, test loss 3.1129679679870605, adv 0.020409423037315855, acc 0.2819353070175439
Epoch 16: train loss 2.8137552738189697, test loss 2.696601152420044, adv 0.013815701707577399, acc 0.32730263157894735
Epoch 17: train loss 2.480419635772705, test loss 2.7289273738861084, adv 0.015690970856971687, acc 0.3256578947368421
Epoch 18: train loss 2.3144609928131104, test loss 2.527611494064331, adv 0.010947797889868771, acc 0.3574561403508772
Epoch 19: train loss 2.3248813152313232, test loss 2.6106369495391846, adv 0.001299962319084802, acc 0.3462171052631579
model: 10000, 1, 64 begin
Epoch 0: train loss 4.30551815032959, test loss 4.327208042144775, adv 0.010100708682057313, acc 0.04057017543859649
Epoch 1: train loss 4.330573558807373, test loss 4.299030780792236, adv 0.0026628236814020267, acc 0.046463815789473686
Epoch 2: train loss 4.338570594787598, test loss 4.282370567321777, adv 0.007219493671478561, acc 0.04111842105263158
Epoch 3: train loss 4.128456115722656, test loss 4.188172817230225, adv -0.0005289370705311991, acc 0.07949561403508772
Epoch 4: train loss 4.156589984893799, test loss 4.05053186416626, adv 0.002986534338781821, acc 0.07839912280701754
Epoch 5: train loss 4.043751239776611, test loss 3.9696550369262695, adv -0.003510351719747562, acc 0.08758223684210527
Epoch 6: train loss 4.1162919998168945, test loss 3.956141471862793, adv -0.006209890889176006, acc 0.08662280701754387
Epoch 7: train loss 4.078039646148682, test loss 4.113321781158447, adv -0.006406486968488445, acc 0.08072916666666667
Epoch 8: train loss 3.9113316535949707, test loss 4.006961345672607, adv -0.0037758441929263142, acc 0.10485197368421052
Epoch 9: train loss 3.7505292892456055, test loss 4.09016752243042, adv -0.003241641155984909, acc 0.08730811403508772
Epoch 10: train loss 3.6943016052246094, test loss 3.9383561611175537, adv 0.0038132910651763052, acc 0.09580592105263158
Epoch 11: train loss 3.8488693237304688, test loss 3.852553606033325, adv -0.009245720524630685, acc 0.1225328947368421
Epoch 12: train loss 3.683389663696289, test loss 3.7444939613342285, adv -0.003328822155441946, acc 0.13884320175438597
Epoch 13: train loss 3.710367441177368, test loss 3.6033902168273926, adv -0.007623364039768599, acc 0.16735197368421054
Epoch 14: train loss 3.5936520099639893, test loss 3.489405632019043, adv -0.00042522678762008104, acc 0.19887609649122806
Epoch 15: train loss 3.515296697616577, test loss 3.3763039112091064, adv 0.0029692736711041112, acc 0.20764802631578946
Epoch 16: train loss 3.827955722808838, test loss 3.6498875617980957, adv 0.0006778468984627306, acc 0.20518092105263158
Epoch 17: train loss 3.585153818130493, test loss 3.495884656906128, adv 0.0038020277481323195, acc 0.23218201754385964
Epoch 18: train loss 3.0071675777435303, test loss 3.1935665607452393, adv 0.00047408325375875027, acc 0.2565789473684211
Epoch 19: train loss 3.284428358078003, test loss 3.090883255004883, adv 0.0036806179670093586, acc 0.2642543859649123
model: 10000, 2, 64 begin
Epoch 0: train loss 4.528895378112793, test loss 4.528265953063965, adv 0.006065369366586193, acc 0.03358004385964912
Epoch 1: train loss 4.449117660522461, test loss 4.470512866973877, adv 0.01206301255406389, acc 0.046463815789473686
Epoch 2: train loss 4.3964033126831055, test loss 4.351016521453857, adv -0.0001867955307157665, acc 0.030290570175438597
Epoch 3: train loss 4.272130489349365, test loss 4.368746280670166, adv 0.01206301255406389, acc 0.046463815789473686
Epoch 4: train loss 4.257216453552246, test loss 4.370645046234131, adv 0.01632742140837684, acc 0.039884868421052634
Epoch 5: train loss 4.3870158195495605, test loss 4.289871692657471, adv -0.0011473955700349592, acc 0.06318530701754387
Epoch 6: train loss 4.481424331665039, test loss 4.293200492858887, adv 0.0009636718530584565, acc 0.05962171052631579
Epoch 7: train loss 4.448976993560791, test loss 4.294888496398926, adv -0.00046954867157222857, acc 0.0625
Epoch 8: train loss 4.729257583618164, test loss 4.706347465515137, adv 0.028895235353592064, acc 0.038651315789473686
Epoch 9: train loss 4.083074569702148, test loss 4.253342628479004, adv 0.0015454148645359655, acc 0.06181469298245614
Epoch 10: train loss 4.350474834442139, test loss 4.301695823669434, adv 0.016291144750884667, acc 0.062225877192982455
Epoch 11: train loss 4.079574108123779, test loss 4.163898468017578, adv -0.004911391338538462, acc 0.07195723684210527
Epoch 12: train loss 4.077552318572998, test loss 4.1709794998168945, adv 0.007468164307513736, acc 0.0683936403508772
Epoch 13: train loss 4.519317626953125, test loss 4.572649002075195, adv 0.010270097268250677, acc 0.07853618421052631
Epoch 14: train loss 4.5374064445495605, test loss 4.894418716430664, adv 0.0012423292422625298, acc 0.07113486842105263
Epoch 15: train loss 4.506989002227783, test loss 4.8730998039245605, adv 0.02813927662004534, acc 0.08552631578947369
Epoch 16: train loss 4.120555877685547, test loss 4.112693786621094, adv -0.0072667410923252795, acc 0.09498355263157894
Epoch 17: train loss 4.033374309539795, test loss 3.9873180389404297, adv -0.0044282389204066686, acc 0.09923245614035088
Epoch 18: train loss 3.491877317428589, test loss 3.914163112640381, adv 0.0002077131195117321, acc 0.10512609649122807
Epoch 19: train loss 3.843675374984741, test loss 3.9400634765625, adv -0.0002732451459492302, acc 0.10663377192982457
model: 10000, 5, 64 begin
Epoch 0: train loss 4.553863525390625, test loss 4.562632083892822, adv 0.010076280448987951, acc 0.046463815789473686
Epoch 1: train loss 4.49842643737793, test loss 4.518440246582031, adv 0.01809678612218918, acc 0.046463815789473686
Epoch 2: train loss 4.394962787628174, test loss 4.4425883293151855, adv 0.018397238761257484, acc 0.046463815789473686
Epoch 3: train loss 4.5198163986206055, test loss 4.492926597595215, adv 0.0060864332322267956, acc 0.046463815789473686
Epoch 4: train loss 4.498659610748291, test loss 4.474480152130127, adv 0.010208075886086632, acc 0.046463815789473686
Epoch 5: train loss 4.401785373687744, test loss 4.431889057159424, adv 0.016145891844071225, acc 0.046463815789473686
Epoch 6: train loss 4.449591636657715, test loss 4.315953254699707, adv 0.0028876511917467207, acc 0.046463815789473686
Epoch 7: train loss 4.200916767120361, test loss 4.310728549957275, adv 0.007758962674830061, acc 0.046463815789473686
Epoch 8: train loss 4.254237174987793, test loss 4.306305408477783, adv 0.0039057380310434375, acc 0.046463815789473686
Epoch 9: train loss 4.311833381652832, test loss 4.30682897567749, adv 0.0028042733902525763, acc 0.046463815789473686
Epoch 10: train loss 4.5038652420043945, test loss 4.451457977294922, adv -0.00430463498661271, acc 0.046463815789473686
Epoch 11: train loss 4.463014602661133, test loss 4.43342924118042, adv 0.01031178616899775, acc 0.046463815789473686
Epoch 12: train loss 4.4457106590271, test loss 4.417997360229492, adv 0.013318214158662411, acc 0.046463815789473686
Epoch 13: train loss 4.342849254608154, test loss 4.404289245605469, adv 0.012129714795259205, acc 0.046463815789473686
Epoch 14: train loss 4.370952606201172, test loss 4.3922247886657715, adv 0.014148335252485544, acc 0.046463815789473686
Epoch 15: train loss 4.32090425491333, test loss 4.381525993347168, adv 0.011996310312868574, acc 0.046463815789473686
Epoch 16: train loss 4.496490001678467, test loss 4.372200965881348, adv -0.004271283866015052, acc 0.046463815789473686
Epoch 17: train loss 4.294178485870361, test loss 4.364315986633301, adv 0.012096363674661548, acc 0.046463815789473686
Epoch 18: train loss 4.341280937194824, test loss 4.3573222160339355, adv 0.014165010812784373, acc 0.046463815789473686
Epoch 19: train loss 4.318243026733398, test loss 4.351412773132324, adv 0.014181686373083202, acc 0.046463815789473686
model: 50000, 0.5, 64 begin
Epoch 0: train loss 4.40084171295166, test loss 4.287007808685303, adv -0.0027093397180251166, acc 0.046463815789473686
Epoch 1: train loss 4.291744709014893, test loss 4.165729522705078, adv -0.0008754669156884054, acc 0.062225877192982455
Epoch 2: train loss 3.812054395675659, test loss 3.9917078018188477, adv 0.019194155011327707, acc 0.09087171052631579
Epoch 3: train loss 3.54697585105896, test loss 3.7305970191955566, adv 0.006738535406017709, acc 0.12417763157894737
Epoch 4: train loss 2.7368669509887695, test loss 3.2781496047973633, adv 0.008680799350296753, acc 0.23711622807017543
Epoch 5: train loss 3.235532283782959, test loss 2.964897394180298, adv -0.0034712958022056206, acc 0.27261513157894735
Epoch 6: train loss 2.5996036529541016, test loss 2.6218700408935547, adv 0.00411506019584712, acc 0.3222313596491228
Epoch 7: train loss 2.543829917907715, test loss 2.433885097503662, adv 0.013822722996124193, acc 0.3632127192982456
Epoch 8: train loss 2.1126816272735596, test loss 2.3041067123413086, adv 0.019310298826040517, acc 0.4041940789473684
Epoch 9: train loss 2.2842249870300293, test loss 2.16640043258667, adv 0.02385512039169424, acc 0.42941337719298245
Epoch 10: train loss 2.0206923484802246, test loss 2.021548271179199, adv 0.02111023540040069, acc 0.47834429824561403
Epoch 11: train loss 1.9512438774108887, test loss 2.087801694869995, adv 0.023326914705386725, acc 0.4661458333333333
