test
test 2
test 3
model: 0, 2, 16 begin
Epoch 12: train loss 1.421121597290039, test loss 1.6016279458999634, adv 0.044177583697234346, acc 0.552811135371179
Epoch 13: train loss 1.189082384109497, test loss 1.4657948017120361, adv 0.04919141193595333, acc 0.5910207423580786
Epoch 14: train loss 1.345246434211731, test loss 2.0786020755767822, adv 0.0347259097525473, acc 0.5114628820960698
Epoch 15: train loss 1.6165547370910645, test loss 2.0873188972473145, adv 0.04518828238719075, acc 0.5251091703056768
Epoch 16: train loss 1.391827940940857, test loss 1.4915591478347778, adv 0.054250873362445384, acc 0.5777838427947598
Epoch 17: train loss 0.8682244420051575, test loss 1.4272773265838623, adv 0.04891724890829696, acc 0.6011189956331878
Epoch 18: train loss 1.4888886213302612, test loss 1.495108962059021, adv 0.05135924308588069, acc 0.6005731441048034
Epoch 19: train loss 1.2992815971374512, test loss 1.3796312808990479, adv 0.06653195050946137, acc 0.6056222707423581
model: 100000, False, 16 begin
Epoch 0: train loss 2.8959996700286865, test loss 2.696560859680176, adv 0.0267372634643378, acc 0.3254639737991266
Epoch 1: train loss 2.2066266536712646, test loss 2.145273208618164, adv 0.026116593886462924, acc 0.45373908296943233
Epoch 2: train loss 2.2627007961273193, test loss 1.9135607481002808, adv 0.035668195050946205, acc 0.48608078602620086
Epoch 3: train loss 1.7345541715621948, test loss 1.8074934482574463, adv 0.02698922852983987, acc 0.507778384279476
Epoch 4: train loss 1.7726690769195557, test loss 1.8275595903396606, adv 0.04087794759825325, acc 0.5188318777292577
Epoch 5: train loss 2.859617233276367, test loss 1.6541942358016968, adv 0.041999199417758315, acc 0.5433951965065502
Epoch 6: train loss 1.9712094068527222, test loss 1.6833840608596802, adv 0.0389413391557496, acc 0.5495360262008734
Epoch 7: train loss 0.9013400077819824, test loss 1.6375446319580078, adv 0.03221390101892285, acc 0.5384825327510917
Epoch 8: train loss 0.9316420555114746, test loss 1.5868619680404663, adv 0.03829526928675403, acc 0.5608624454148472
Epoch 9: train loss 1.2775388956069946, test loss 1.5406981706619263, adv 0.052363682678311485, acc 0.568504366812227
Epoch 10: train loss 2.515227794647217, test loss 1.6001626253128052, adv 0.055355749636099016, acc 0.5549945414847162
Epoch 11: train loss 1.2379661798477173, test loss 1.6421232223510742, adv 0.05091863173216882, acc 0.5425764192139738
Epoch 12: train loss 1.3036025762557983, test loss 1.7961111068725586, adv 0.04719788937409031, acc 0.5139192139737991
Epoch 13: train loss 1.5755337476730347, test loss 1.635352373123169, adv 0.05300283842794762, acc 0.5453056768558951
Epoch 14: train loss 1.2128814458847046, test loss 1.607628345489502, adv 0.045409898107714675, acc 0.545032751091703
Epoch 15: train loss 1.5881609916687012, test loss 1.5534067153930664, adv 0.05615967976710334, acc 0.5634552401746725
Epoch 16: train loss 2.0969905853271484, test loss 1.569632887840271, adv 0.0609657205240175, acc 0.5540393013100436
Epoch 17: train loss 1.0367937088012695, test loss 1.5664039850234985, adv 0.047576564774381436, acc 0.5524017467248908
Epoch 18: train loss 2.4083688259124756, test loss 1.560852289199829, adv 0.05847547307132461, acc 0.556495633187773
Epoch 19: train loss 1.2568391561508179, test loss 1.5071349143981934, adv 0.05623544395924307, acc 0.5738264192139738
model: 100000, 2, 16 begin
Epoch 0: train loss 2.8426144123077393, test loss 3.233707904815674, adv -0.00348937409024741, acc 0.2603711790393013
Epoch 1: train loss 3.4487266540527344, test loss 3.345118522644043, adv 0.006306768558951958, acc 0.26473799126637554
Epoch 2: train loss 3.573242425918579, test loss 3.1466596126556396, adv 0.006795487627365371, acc 0.2965338427947598
Epoch 3: train loss 3.3375632762908936, test loss 3.054888963699341, adv -0.004191994177583647, acc 0.29175764192139736
Epoch 4: train loss 3.8431074619293213, test loss 3.124086856842041, adv 0.0052546579330422505, acc 0.29093886462882096
Epoch 5: train loss 2.590592622756958, test loss 2.8431897163391113, adv 0.0024147016011644706, acc 0.3326965065502183
Epoch 6: train loss 1.7598552703857422, test loss 2.877668619155884, adv -0.00011193595342068319, acc 0.3273744541484716
Epoch 7: train loss 3.110569715499878, test loss 2.715125560760498, adv 0.019123144104803425, acc 0.353575327510917
Epoch 8: train loss 3.4437899589538574, test loss 2.7119994163513184, adv 0.018654148471615728, acc 0.3699508733624454
Epoch 9: train loss 2.09521484375, test loss 2.4534029960632324, adv -0.003465866084425062, acc 0.386735807860262
Epoch 10: train loss 2.113945484161377, test loss 2.6290297508239746, adv 0.013517103347889359, acc 0.3590338427947598
Epoch 11: train loss 1.7553949356079102, test loss 2.6036734580993652, adv 0.00583253275109169, acc 0.3807314410480349
Epoch 12: train loss 3.042790412902832, test loss 2.5322329998016357, adv 0.02279585152838426, acc 0.38659934497816595
Epoch 13: train loss 2.2157537937164307, test loss 2.3345134258270264, adv 0.015326128093158697, acc 0.40829694323144106
Epoch 14: train loss 1.9492801427841187, test loss 2.1699674129486084, adv 0.01438653566229986, acc 0.4481441048034934
Epoch 15: train loss 1.723554015159607, test loss 2.1143577098846436, adv 0.01571659388646296, acc 0.4546943231441048
Epoch 16: train loss 1.1074367761611938, test loss 2.2432360649108887, adv 0.021356550218340653, acc 0.4248089519650655
Epoch 17: train loss 1.2339962720870972, test loss 2.0584864616394043, adv 0.014725764192139779, acc 0.46779475982532753
Epoch 18: train loss 1.6439895629882812, test loss 1.9558130502700806, adv 0.028633770014556026, acc 0.4759825327510917
Epoch 19: train loss 3.0967857837677, test loss 1.925205945968628, adv 0.03291804949053867, acc 0.48417030567685587
model: 100000, 5, 16 begin
Epoch 0: train loss 2.4072017669677734, test loss 2.8189942836761475, adv 0.011803420669577902, acc 0.3018558951965066
Epoch 1: train loss 3.0769035816192627, test loss 2.7058334350585938, adv 0.007298034934497877, acc 0.3247816593886463
Epoch 2: train loss 2.445010185241699, test loss 2.648961067199707, adv 0.0012375545851528447, acc 0.35207423580786024
Epoch 3: train loss 2.1857192516326904, test loss 2.7557361125946045, adv -0.0009421397379912877, acc 0.3155021834061135
Epoch 4: train loss 3.481271743774414, test loss 2.4941883087158203, adv 0.011367831149927232, acc 0.3556222707423581
Epoch 5: train loss 1.9129809141159058, test loss 2.243009090423584, adv 0.015185662299854463, acc 0.4289028384279476
Epoch 6: train loss 2.4497857093811035, test loss 2.255675792694092, adv 0.010724745269286684, acc 0.42917576419213976
Epoch 7: train loss 1.4873454570770264, test loss 2.474034547805786, adv 0.014528966521106301, acc 0.3852347161572052
Epoch 8: train loss 1.2572486400604248, test loss 2.305314779281616, adv 0.005596215429403195, acc 0.4242631004366812
Epoch 9: train loss 2.9524593353271484, test loss 2.128936290740967, adv 0.023146943231441064, acc 0.4634279475982533
Epoch 10: train loss 1.3625011444091797, test loss 1.886352300643921, adv 0.018641339155749614, acc 0.4995906113537118
Epoch 11: train loss 1.6454187631607056, test loss 1.7552803754806519, adv 0.025024163027656532, acc 0.5233351528384279
Epoch 12: train loss 1.2285181283950806, test loss 1.728448510169983, adv 0.029734061135371248, acc 0.5326146288209607
Epoch 13: train loss 2.4349536895751953, test loss 1.8362376689910889, adv 0.04756091703056764, acc 0.5170578602620087
Epoch 14: train loss 1.3748009204864502, test loss 1.8074486255645752, adv 0.03959395924308584, acc 0.5084606986899564
Epoch 15: train loss 3.080827474594116, test loss 1.9517940282821655, adv 0.03610203784570598, acc 0.5088700873362445
Epoch 16: train loss 0.9590126276016235, test loss 1.6070095300674438, adv 0.034585735080058244, acc 0.5521288209606987
Epoch 17: train loss 1.8881202936172485, test loss 1.865468144416809, adv 0.0432271470160116, acc 0.5222434497816594
Epoch 18: train loss 1.0672584772109985, test loss 1.6272838115692139, adv 0.04036244541484724, acc 0.5609989082969432
Epoch 19: train loss 1.7708790302276611, test loss 1.6352722644805908, adv 0.053953129548762746, acc 0.5544486899563319
model: 100000, 10, 16 begin
Epoch 0: train loss 3.272136688232422, test loss 2.998136520385742, adv 0.006502110625909774, acc 0.2681495633187773
Epoch 1: train loss 3.006621837615967, test loss 2.4815993309020996, adv 0.011952983988355204, acc 0.35725982532751094
Epoch 2: train loss 2.1924221515655518, test loss 2.2752366065979004, adv 0.01114992721979624, acc 0.4134825327510917
Epoch 3: train loss 4.536065101623535, test loss 3.0498242378234863, adv 0.012189519650655067, acc 0.3550764192139738
Epoch 4: train loss 1.7247775793075562, test loss 1.8383344411849976, adv 0.03453704512372635, acc 0.5017740174672489
Epoch 5: train loss 1.533481478691101, test loss 1.8467106819152832, adv 0.03131266375545849, acc 0.509688864628821
Epoch 6: train loss 1.8993701934814453, test loss 1.6116808652877808, adv 0.0456471615720524, acc 0.5618176855895196
Epoch 7: train loss 1.568630337715149, test loss 1.647023320198059, adv 0.03847205240174678, acc 0.5559497816593887
Epoch 8: train loss 2.2498905658721924, test loss 1.6933218240737915, adv 0.04196826783114993, acc 0.5439410480349345
Epoch 9: train loss 2.1664435863494873, test loss 1.921346664428711, adv 0.03521273653566226, acc 0.5125545851528385
Epoch 10: train loss 1.8332288265228271, test loss 1.7424426078796387, adv 0.04142954876273652, acc 0.5436681222707423
Epoch 11: train loss 0.9894801378250122, test loss 1.641150712966919, adv 0.0330053129548763, acc 0.5638646288209607
Epoch 12: train loss 2.2776997089385986, test loss 1.6403851509094238, adv 0.04762168850072779, acc 0.5691866812227074
Epoch 13: train loss 1.3974729776382446, test loss 1.6054049730300903, adv 0.04213398835516735, acc 0.5656386462882096
Epoch 14: train loss 1.6785026788711548, test loss 1.7172110080718994, adv 0.04571899563318782, acc 0.5440775109170306
Epoch 15: train loss 1.0055313110351562, test loss 1.6498783826828003, adv 0.043633406113537054, acc 0.5560862445414847
Epoch 16: train loss 1.5173395872116089, test loss 1.5451242923736572, adv 0.05710560407569143, acc 0.574099344978166
Epoch 17: train loss 1.7475467920303345, test loss 1.7833143472671509, adv 0.04794301310043658, acc 0.552674672489083
Epoch 18: train loss 1.4727097749710083, test loss 1.5491052865982056, adv 0.06136157205240167, acc 0.5717794759825328
Epoch 19: train loss 0.8005508184432983, test loss 1.50341796875, adv 0.05032307132459968, acc 0.5837882096069869
model: 0, False, 32 begin
Epoch 0: train loss 0.9711169600486755, test loss 1.4743822813034058, adv 0.046153857350800576, acc 0.5788755458515283
Epoch 1: train loss 0.9508350491523743, test loss 1.3113359212875366, adv 0.08295429403202337, acc 0.6128548034934498
Epoch 2: train loss 0.8823049068450928, test loss 1.2859973907470703, adv 0.11373282387190686, acc 0.6304585152838428
Epoch 3: train loss 1.0518989562988281, test loss 1.3125578165054321, adv 0.14866317321688494, acc 0.6275927947598253
Epoch 4: train loss 0.403484970331192, test loss 1.3805601596832275, adv 0.17380043668122264, acc 0.6224072052401747
Epoch 5: train loss 0.6744060516357422, test loss 1.471242904663086, adv 0.2387345705967977, acc 0.6217248908296943
Epoch 6: train loss 0.5657509565353394, test loss 1.5919065475463867, adv 0.2794933770014556, acc 0.615311135371179
Epoch 7: train loss 0.3078726530075073, test loss 1.7598090171813965, adv 0.31559475982532753, acc 0.6076692139737991
Epoch 8: train loss 0.26887357234954834, test loss 1.9660526514053345, adv 0.3661641193595342, acc 0.58992903930131
Epoch 9: train loss 0.42037516832351685, test loss 2.1922643184661865, adv 0.3835440320232897, acc 0.5921124454148472
Epoch 10: train loss 0.39230915904045105, test loss 2.4002327919006348, adv 0.40362416302765647, acc 0.5910207423580786
Epoch 11: train loss 0.17915605008602142, test loss 2.616511821746826, adv 0.42167991266375543, acc 0.5892467248908297
Epoch 12: train loss 0.1093398779630661, test loss 2.849820137023926, adv 0.43879330422125185, acc 0.5835152838427947
Epoch 13: train loss 0.06564995646476746, test loss 3.0944268703460693, adv 0.4574560407569141, acc 0.5717794759825328
Epoch 14: train loss 0.11209934949874878, test loss 3.320965528488159, adv 0.4640585152838428, acc 0.5764192139737991
Epoch 15: train loss 0.005912757478654385, test loss 3.481429100036621, adv 0.41604388646288215, acc 0.5826965065502183
Epoch 16: train loss 0.015862666070461273, test loss 3.706448793411255, adv 0.4527255458515284, acc 0.5753275109170306
Epoch 17: train loss 0.006219468545168638, test loss 3.8696706295013428, adv 0.449447962154294, acc 0.5777838427947598
Epoch 18: train loss 0.07256792485713959, test loss 4.112029075622559, adv 0.4742603347889374, acc 0.572188864628821
Epoch 19: train loss 0.1515769064426422, test loss 4.217158317565918, adv 0.4691571324599709, acc 0.5780567685589519
model: 0, 2, 32 begin
Epoch 0: train loss 2.0941367149353027, test loss 1.5750741958618164, adv 0.04799606986899563, acc 0.5560862445414847
Epoch 1: train loss 1.3568576574325562, test loss 1.456897258758545, adv 0.05804374090247455, acc 0.5900655021834061
Epoch 2: train loss 0.9478492736816406, test loss 1.4422547817230225, adv 0.07057197962154294, acc 0.5964792576419214
Epoch 3: train loss 1.0140546560287476, test loss 1.3997740745544434, adv 0.08118959243085877, acc 0.613264192139738
Epoch 4: train loss 1.1128994226455688, test loss 1.4082019329071045, adv 0.08987634643376996, acc 0.615174672489083
Epoch 5: train loss 0.5421286225318909, test loss 1.395359754562378, adv 0.09738944687045126, acc 0.621042576419214
Epoch 6: train loss 0.7263736128807068, test loss 1.448835849761963, adv 0.12385786026200873, acc 0.6063045851528385
Epoch 7: train loss 0.8991851806640625, test loss 1.4509929418563843, adv 0.13552605531295492, acc 0.6170851528384279
Epoch 8: train loss 0.7552047371864319, test loss 1.485629916191101, adv 0.13818180494905385, acc 0.6199508733624454
Epoch 9: train loss 0.7686036229133606, test loss 1.4968678951263428, adv 0.16434315866084426, acc 0.6184497816593887
Epoch 10: train loss 0.6523690223693848, test loss 1.5170083045959473, adv 0.18019912663755466, acc 0.6170851528384279
Epoch 11: train loss 0.8885127305984497, test loss 1.5893906354904175, adv 0.207433114992722, acc 0.6150382096069869
Epoch 12: train loss 0.4734025299549103, test loss 1.6232300996780396, adv 0.2281637554585153, acc 0.6117631004366813
Epoch 13: train loss 0.5730857253074646, test loss 1.6868867874145508, adv 0.2498521834061136, acc 0.6202237991266376
Epoch 14: train loss 0.5415846109390259, test loss 1.7984914779663086, adv 0.28477860262008725, acc 0.6042576419213974
Epoch 15: train loss 0.3351506292819977, test loss 1.9173465967178345, adv 0.3187812954876274, acc 0.6042576419213974
Epoch 16: train loss 0.37803012132644653, test loss 2.0874056816101074, adv 0.3482496360989811, acc 0.5967521834061136
Epoch 17: train loss 0.31778907775878906, test loss 2.322589874267578, adv 0.37760786026200877, acc 0.59375
Epoch 18: train loss 0.2457653433084488, test loss 2.523574113845825, adv 0.40177612809315866, acc 0.5907478165938864
Epoch 19: train loss 0.31682583689689636, test loss 2.7997894287109375, adv 0.4286206695778748, acc 0.5777838427947598
model: 0, 5, 32 begin
Epoch 0: train loss 1.7476149797439575, test loss 1.4961925745010376, adv 0.05374505094614268, acc 0.5700054585152838
Epoch 1: train loss 1.3926141262054443, test loss 1.3352203369140625, adv 0.08186739446870461, acc 0.6068504366812227
Epoch 2: train loss 1.1386082172393799, test loss 1.310670018196106, adv 0.1152871179039302, acc 0.6221342794759825
Epoch 3: train loss 1.3574165105819702, test loss 1.3486438989639282, adv 0.1520429403202329, acc 0.6176310043668122
Epoch 4: train loss 0.8728170990943909, test loss 1.4307578802108765, adv 0.17930720524017463, acc 0.6214519650655022
Epoch 5: train loss 0.6683975458145142, test loss 1.4904228448867798, adv 0.21866128093158654, acc 0.6204967248908297
Epoch 6: train loss 0.5397176146507263, test loss 1.6580209732055664, adv 0.2577995633187773, acc 0.6168122270742358
Epoch 7: train loss 0.38588669896125793, test loss 1.8133714199066162, adv 0.29430254730713246, acc 0.6060316593886463
Epoch 8: train loss 0.21437384188175201, test loss 2.021428346633911, adv 0.3156959970887918, acc 0.6001637554585153
Epoch 9: train loss 0.23459921777248383, test loss 2.2217049598693848, adv 0.35877154294032026, acc 0.5870633187772926
Epoch 10: train loss 0.35147520899772644, test loss 2.449321985244751, adv 0.3839439592430859, acc 0.5945687772925764
Epoch 11: train loss 0.09094547480344772, test loss 2.6699206829071045, adv 0.40748573508005825, acc 0.5832423580786026
Epoch 12: train loss 0.018677514046430588, test loss 2.9107699394226074, adv 0.3844150655021834, acc 0.5807860262008734
Epoch 13: train loss 0.14712311327457428, test loss 3.221292734146118, adv 0.4390912663755458, acc 0.579967248908297
Epoch 14: train loss 0.03956130892038345, test loss 3.428269147872925, adv 0.45029526928675395, acc 0.5783296943231441
Epoch 15: train loss 0.03015781007707119, test loss 3.667738437652588, adv 0.442316885007278, acc 0.5856986899563319
Epoch 16: train loss 0.003087222808972001, test loss 3.8867592811584473, adv 0.4105262008733625, acc 0.5704148471615721
Epoch 17: train loss 0.06196543201804161, test loss 4.109291076660156, adv 0.46500698689956327, acc 0.5862445414847162
Epoch 18: train loss 0.04822799563407898, test loss 4.226435661315918, adv 0.4768366084425037, acc 0.5720524017467249
Epoch 19: train loss 0.011584954336285591, test loss 4.466860771179199, adv 0.4689901018922853, acc 0.5739628820960698
model: 0, 10, 32 begin
Epoch 0: train loss 1.1454071998596191, test loss 1.4821243286132812, adv 0.04675342066957788, acc 0.5745087336244541
Epoch 1: train loss 1.296583890914917, test loss 1.3066363334655762, adv 0.08495232896652116, acc 0.6142194323144105
Epoch 2: train loss 0.773703932762146, test loss 1.2984269857406616, adv 0.11766033478893734, acc 0.6184497816593887
Epoch 3: train loss 0.9536532163619995, test loss 1.314024806022644, adv 0.15840043668122272, acc 0.6275927947598253
Epoch 4: train loss 0.7256312370300293, test loss 1.4077386856079102, adv 0.19705414847161573, acc 0.6188591703056768
Epoch 5: train loss 0.8588052988052368, test loss 1.543563723564148, adv 0.23966462882096062, acc 0.6080786026200873
Epoch 6: train loss 0.33744707703590393, test loss 1.6739580631256104, adv 0.26038566229985444, acc 0.6157205240174672
Epoch 7: train loss 0.373211145401001, test loss 1.8524752855300903, adv 0.2992222707423581, acc 0.6098526200873362
Epoch 8: train loss 0.5097244381904602, test loss 2.042231321334839, adv 0.3606176128093159, acc 0.5912936681222707
Epoch 9: train loss 0.34742414951324463, test loss 2.276437282562256, adv 0.3830639737991266, acc 0.5982532751091703
Epoch 10: train loss 0.21375508606433868, test loss 2.5599570274353027, adv 0.41256113537117906, acc 0.5852893013100436
Epoch 11: train loss 0.179408460855484, test loss 2.880392551422119, adv 0.4312434497816594, acc 0.5809224890829694
Epoch 12: train loss 0.12401430308818817, test loss 3.137005090713501, adv 0.4415240174672489, acc 0.5817412663755459
Epoch 13: train loss 0.15906566381454468, test loss 3.384442090988159, adv 0.4483575691411936, acc 0.5771015283842795
Epoch 14: train loss 0.22492757439613342, test loss 3.615260362625122, adv 0.45094425036390096, acc 0.5847434497816594
Epoch 15: train loss 0.031926803290843964, test loss 3.896541118621826, adv 0.46553951965065504, acc 0.5749181222707423
Epoch 16: train loss 0.051044147461652756, test loss 4.037635326385498, adv 0.4720826055312955, acc 0.5751910480349345
Epoch 17: train loss 0.012664269655942917, test loss 4.237411022186279, adv 0.4738986899563319, acc 0.5712336244541485
Epoch 18: train loss 0.01975601725280285, test loss 4.411478519439697, adv 0.4974137554585153, acc 0.5754639737991266
Epoch 19: train loss 0.01160108670592308, test loss 4.528183460235596, adv 0.4978175400291121, acc 0.5712336244541485
model: 1, False, 32 begin
Epoch 0: train loss 4.283926963806152, test loss 4.2516398429870605, adv 0.0023689228529839568, acc 0.05949781659388646
Epoch 1: train loss 3.9794301986694336, test loss 4.146182537078857, adv 0.011863609898107697, acc 0.07901200873362445
Epoch 2: train loss 4.2924041748046875, test loss 4.269520282745361, adv -0.006512882096069816, acc 0.05813318777292576
Epoch 3: train loss 4.3210272789001465, test loss 4.118298530578613, adv -0.003099781659388734, acc 0.07041484716157205
Epoch 4: train loss 4.090251922607422, test loss 4.072914123535156, adv 0.011486244541484725, acc 0.07819323144104803
Epoch 5: train loss 5.991652011871338, test loss 6.015856742858887, adv 0.010162372634643368, acc 0.06713973799126638
Epoch 6: train loss 4.005929946899414, test loss 4.475113868713379, adv 0.013002037845705972, acc 0.07218886462882096
Epoch 7: train loss 4.0449113845825195, test loss 4.140087127685547, adv 0.006647816593886469, acc 0.08719978165938864
Epoch 8: train loss 4.00610876083374, test loss 4.126345634460449, adv 0.00779621542940323, acc 0.0824235807860262
Epoch 9: train loss 4.381810665130615, test loss 4.106871128082275, adv -0.005104657933042156, acc 0.07983078602620088
Epoch 10: train loss 4.252816200256348, test loss 4.08989143371582, adv 0.006784206695778727, acc 0.08092248908296944
Epoch 11: train loss 4.128117084503174, test loss 4.05615234375, adv 0.006291193595342082, acc 0.10180131004366812
Epoch 12: train loss 3.9871511459350586, test loss 4.029170036315918, adv 0.009313027656477457, acc 0.09170305676855896
Epoch 13: train loss 4.126084327697754, test loss 3.9924991130828857, adv 0.00957117903930127, acc 0.11108078602620088
Epoch 14: train loss 4.120138168334961, test loss 4.154937744140625, adv 0.013069359534206737, acc 0.07969432314410481
Epoch 15: train loss 4.181501388549805, test loss 4.175430774688721, adv 0.009350218340611394, acc 0.06468340611353712
Epoch 16: train loss 4.481802940368652, test loss 4.12396240234375, adv 0.0004064774381368208, acc 0.06168122270742358
Epoch 17: train loss 3.8784680366516113, test loss 4.085585117340088, adv 0.014768558951965105, acc 0.07450873362445415
Epoch 18: train loss 4.106153964996338, test loss 4.015746116638184, adv 0.008614556040756893, acc 0.08256004366812227
Epoch 19: train loss 3.8041207790374756, test loss 4.0626678466796875, adv 0.014590174672489076, acc 0.07737445414847162
model: 1, 2, 32 begin
Epoch 0: train loss 5.539997100830078, test loss 4.975107192993164, adv 0.015133478893740948, acc 0.0625
Epoch 1: train loss 4.9031805992126465, test loss 4.975107192993164, adv 0.017683697234352314, acc 0.0625
Epoch 2: train loss 4.83825159072876, test loss 4.975107192993164, adv 0.01799141193595344, acc 0.0625
Epoch 3: train loss 5.378180503845215, test loss 4.975107192993164, adv 0.01451863173216883, acc 0.0625
Epoch 4: train loss 4.603332042694092, test loss 4.975107192993164, adv 0.02240349344978171, acc 0.0625
Epoch 5: train loss 4.506166934967041, test loss 4.975107192993164, adv 0.019709170305676815, acc 0.0625
Epoch 6: train loss 4.384875774383545, test loss 4.975107192993164, adv 0.018696215429403196, acc 0.0625
Epoch 7: train loss 4.6915059089660645, test loss 4.975107192993164, adv 0.02137998544395925, acc 0.0625
Epoch 8: train loss 4.413101673126221, test loss 4.975107192993164, adv 0.019810698689956385, acc 0.0625
Epoch 9: train loss 4.94819974899292, test loss 4.975107192993164, adv 0.017665720524017492, acc 0.0625
Epoch 10: train loss 4.3180251121521, test loss 4.975107192993164, adv 0.016863173216884964, acc 0.0625
Epoch 11: train loss 4.475752830505371, test loss 4.975107192993164, adv 0.018733260553129516, acc 0.0625
Epoch 12: train loss 5.096292495727539, test loss 4.975107192993164, adv 0.014718995633187792, acc 0.0625
Epoch 13: train loss 4.671758651733398, test loss 4.975107192993164, adv 0.020605094614264963, acc 0.0625
Epoch 14: train loss 5.27111291885376, test loss 4.975107192993164, adv 0.014037918486171752, acc 0.0625
Epoch 15: train loss 5.371537685394287, test loss 4.975107192993164, adv 0.013521761280931632, acc 0.0625
Epoch 16: train loss 4.786043643951416, test loss 4.975107192993164, adv 0.019044905385735056, acc 0.0625
Epoch 17: train loss 5.128376483917236, test loss 4.975107192993164, adv 0.01428653566229987, acc 0.0625
Epoch 18: train loss 5.031884670257568, test loss 4.975107192993164, adv 0.014590174672489131, acc 0.0625
Epoch 19: train loss 4.76478910446167, test loss 4.975107192993164, adv 0.019777365356623, acc 0.0625
model: 1, 5, 32 begin
Epoch 0: train loss 3.99507999420166, test loss 3.971320629119873, adv 0.007206841339155723, acc 0.10630458515283843
Epoch 1: train loss 4.009720802307129, test loss 3.797548770904541, adv -0.00831746724890825, acc 0.12622816593886463
Epoch 2: train loss 3.712890386581421, test loss 3.9473233222961426, adv 0.015904512372634627, acc 0.11162663755458516
Epoch 3: train loss 4.01804256439209, test loss 3.9741179943084717, adv 0.010858879184861725, acc 0.11149017467248909
Epoch 4: train loss 4.124955177307129, test loss 3.987431526184082, adv 0.0037129548762736553, acc 0.10739628820960699
Epoch 5: train loss 3.573746681213379, test loss 3.754384994506836, adv 0.0037823871906841333, acc 0.1335971615720524
Epoch 6: train loss 4.154980182647705, test loss 3.73233699798584, adv 0.0014260553129549214, acc 0.13687227074235808
Epoch 7: train loss 3.6705093383789062, test loss 3.6651272773742676, adv 0.0002667394468704454, acc 0.14233078602620086
Epoch 8: train loss 3.8253836631774902, test loss 3.6965978145599365, adv -0.006735298398835521, acc 0.13878275109170304
Epoch 9: train loss 4.0652031898498535, test loss 3.6886792182922363, adv -0.005154075691411908, acc 0.13741812227074235
Epoch 10: train loss 3.7043774127960205, test loss 3.642531156539917, adv -0.007269796215429447, acc 0.13864628820960698
Epoch 11: train loss 3.637556552886963, test loss 3.6768009662628174, adv 0.017655676855895197, acc 0.15215611353711792
Epoch 12: train loss 3.4050235748291016, test loss 3.5513291358947754, adv 0.010524090247452711, acc 0.16921397379912664
Epoch 13: train loss 3.1964962482452393, test loss 3.5245354175567627, adv 0.008616375545851485, acc 0.1634825327510917
Epoch 14: train loss 3.3459510803222656, test loss 3.505289077758789, adv -0.002788646288209573, acc 0.1784934497816594
Epoch 15: train loss 3.6557867527008057, test loss 3.4300785064697266, adv -0.004102328966521185, acc 0.1870906113537118
Epoch 16: train loss 3.5760486125946045, test loss 3.3460206985473633, adv -0.005857933042212604, acc 0.21438318777292575
Epoch 17: train loss 3.23801326751709, test loss 3.2831568717956543, adv -0.0012954148471615579, acc 0.2134279475982533
Epoch 18: train loss 2.8343496322631836, test loss 3.2384262084960938, adv -0.0022156477438136646, acc 0.23608078602620086
Epoch 19: train loss 3.0352067947387695, test loss 3.2103512287139893, adv -0.003541120815138299, acc 0.24699781659388648
model: 1, 10, 32 begin
Epoch 0: train loss 4.378015995025635, test loss 4.285096645355225, adv 0.0017045123726345812, acc 0.046260917030567686
Epoch 1: train loss 4.096948623657227, test loss 4.2461137771606445, adv 0.01821746724890827, acc 0.05335698689956332
Epoch 2: train loss 4.060560703277588, test loss 4.173864364624023, adv 0.01739199417758369, acc 0.07137008733624454
Epoch 3: train loss 4.022719383239746, test loss 4.087482929229736, adv 0.010572489082969427, acc 0.0710971615720524
Epoch 4: train loss 4.278430461883545, test loss 4.057722568511963, adv 0.007605385735080072, acc 0.08897379912663755
Epoch 5: train loss 3.7296600341796875, test loss 3.9453299045562744, adv 0.011992940320232903, acc 0.10330240174672489
Epoch 6: train loss 3.864609956741333, test loss 3.9464190006256104, adv 0.011484425036390133, acc 0.10903384279475982
Epoch 7: train loss 4.1199822425842285, test loss 3.9442102909088135, adv 0.006171251819505175, acc 0.11203602620087336
Epoch 8: train loss 3.673602342605591, test loss 3.802633762359619, adv 0.004518195050946139, acc 0.12923034934497818
Epoch 9: train loss 3.6374430656433105, test loss 3.8202054500579834, adv 0.011834934497816585, acc 0.12786572052401746
Epoch 10: train loss 3.870022773742676, test loss 3.667203187942505, adv 0.0005566229985443094, acc 0.14478711790393012
Epoch 11: train loss 3.888463258743286, test loss 3.5850820541381836, adv -0.0013759097525473107, acc 0.15256550218340612
Epoch 12: train loss 3.3965485095977783, test loss 3.6708500385284424, adv 0.010105604075691388, acc 0.1404203056768559
Epoch 13: train loss 3.138364791870117, test loss 3.5530526638031006, adv 0.010752838427947553, acc 0.15515829694323144
Epoch 14: train loss 4.055624485015869, test loss 3.509763717651367, adv 0.0005781659388646165, acc 0.1716703056768559
Epoch 15: train loss 3.768693208694458, test loss 3.4397058486938477, adv 0.0009642649199417264, acc 0.17644650655021835
Epoch 16: train loss 2.9917001724243164, test loss 3.4627020359039307, adv 0.008792503639010185, acc 0.17494541484716158
Epoch 17: train loss 3.458280563354492, test loss 3.389861822128296, adv 0.0049163027656478064, acc 0.1875
Epoch 18: train loss 3.493966817855835, test loss 3.3927817344665527, adv -0.0034793304221252264, acc 0.19732532751091703
